att_date,[01]usi_id,[01]grade_level,[156]att_code,[156]description,Campus
9/8/2014,7651619875,4,P,Present and On Time,WP
9/8/2014,7651619875,4,P,Present and On Time,WP
9/8/2014,3392678774,4,P,Present and On Time,WP
9/8/2014,3392678774,4,P,Present and On Time,WP
9/8/2014,7477867076,4,P,Present and On Time,WP
9/8/2014,7477867076,4,P,Present and On Time,WP
9/8/2014,5168213456,4,A,Absent,WP
9/8/2014,5168213456,4,A,Absent,WP
9/8/2014,5285936169,4,P,Present and On Time,WP
9/8/2014,5285936169,4,P,Present and On Time,WP
9/8/2014,5641536245,4,P,Present and On Time,WP
9/8/2014,5641536245,4,P,Present and On Time,WP
9/8/2014,4549642211,4,P,Present and On Time,WP
9/8/2014,4549642211,4,P,Present and On Time,WP
9/8/2014,9876713831,4,P,Present and On Time,WP
9/8/2014,9876713831,4,P,Present and On Time,WP
9/8/2014,5810944863,4,P,Present and On Time,WP
9/8/2014,5810944863,4,P,Present and On Time,WP
9/8/2014,9701235241,4,P,Present and On Time,WP
9/8/2014,9701235241,4,P,Present and On Time,WP
9/8/2014,3836356315,4,P,Present and On Time,WP
9/8/2014,3836356315,4,P,Present and On Time,WP
9/8/2014,5211640209,4,P,Present and On Time,WP
9/8/2014,5211640209,4,P,Present and On Time,WP
9/8/2014,2657704858,4,P,Present and On Time,WP
9/8/2014,2657704858,4,P,Present and On Time,WP
9/8/2014,6608463084,4,P,Present and On Time,WP
9/8/2014,6608463084,4,P,Present and On Time,WP
9/8/2014,5337141055,4,P,Present and On Time,WP
