att_date,[01]usi_id,[01]grade_level,[156]att_code,[156]description,Campus
9/11/2014,9695983863,0,P,Present and On Time,MS
9/11/2014,9695983863,0,P,Present and On Time,MS
9/11/2014,3936885147,0,P,Present and On Time,MS
9/11/2014,3936885147,0,P,Present and On Time,MS
9/11/2014,1679932438,0,P,Present and On Time,MS
9/11/2014,1679932438,0,P,Present and On Time,MS
9/11/2014,4186458847,0,P,Present and On Time,MS
9/11/2014,4186458847,0,P,Present and On Time,MS
9/11/2014,6362734683,0,P,Present and On Time,MS
9/11/2014,6362734683,0,P,Present and On Time,MS
9/11/2014,5987622816,0,P,Present and On Time,MS
9/11/2014,5987622816,0,P,Present and On Time,MS
9/11/2014,5912292894,0,P,Present and On Time,MS
9/11/2014,5912292894,0,P,Present and On Time,MS
9/11/2014,2344114319,0,P,Present and On Time,MS
9/11/2014,2344114319,0,P,Present and On Time,MS
9/11/2014,4551522449,0,P,Present and On Time,MS
9/11/2014,4551522449,0,P,Present and On Time,MS
9/11/2014,9482276841,0,X,Excused Absent,MS
9/11/2014,9482276841,0,X,Excused Absent,MS
9/11/2014,8886473770,0,P,Present and On Time,MS
9/11/2014,8886473770,0,P,Present and On Time,MS
9/11/2014,6885615897,0,P,Present and On Time,MS
9/11/2014,6885615897,0,P,Present and On Time,MS
9/11/2014,9149513656,0,P,Present and On Time,MS
9/11/2014,9149513656,0,P,Present and On Time,MS
9/11/2014,6725276431,0,P,Present and On Time,MS
9/11/2014,6725276431,0,P,Present and On Time,MS
9/11/2014,1825843414,0,P,Present and On Time,MS
9/11/2014,1825843414,0,P,Present and On Time,MS
9/11/2014,3590592788,0,P,Present and On Time,MS
9/11/2014,3590592788,0,P,Present and On Time,MS
9/11/2014,1493697269,0,P,Present and On Time,MS
9/11/2014,1493697269,0,P,Present and On Time,MS
9/11/2014,3786793573,0,P,Present and On Time,MS
9/11/2014,3786793573,0,P,Present and On Time,MS
9/11/2014,4898152252,0,P,Present and On Time,MS
9/11/2014,4898152252,0,P,Present and On Time,MS
9/11/2014,9301653387,1,P,Present and On Time,MS
9/11/2014,9301653387,1,P,Present and On Time,MS
9/11/2014,1165854473,1,T,Tardy,MS
9/11/2014,1165854473,1,T,Tardy,MS
9/11/2014,8962712873,1,P,Present and On Time,MS
9/11/2014,8962712873,1,P,Present and On Time,MS
9/11/2014,4439416128,1,P,Present and On Time,MS
9/11/2014,4439416128,1,P,Present and On Time,MS
9/11/2014,5415825312,1,P,Present and On Time,MS
9/11/2014,5415825312,1,P,Present and On Time,MS
9/11/2014,4529736229,1,P,Present and On Time,MS
9/11/2014,4529736229,1,P,Present and On Time,MS
9/11/2014,1345337736,1,P,Present and On Time,MS
9/11/2014,1345337736,1,P,Present and On Time,MS
9/11/2014,2423395566,1,A,Absent,MS
9/11/2014,2423395566,1,A,Absent,MS
9/11/2014,3861717212,1,P,Present and On Time,MS
9/11/2014,3861717212,1,P,Present and On Time,MS
9/11/2014,7878691704,1,P,Present and On Time,MS
9/11/2014,7878691704,1,P,Present and On Time,MS
9/11/2014,9723562944,1,P,Present and On Time,MS
9/11/2014,9723562944,1,P,Present and On Time,MS
9/11/2014,4929128943,1,P,Present and On Time,MS
9/11/2014,4929128943,1,P,Present and On Time,MS
9/11/2014,3595538455,1,P,Present and On Time,MS
9/11/2014,3595538455,1,P,Present and On Time,MS
9/11/2014,1271147157,1,P,Present and On Time,MS
9/11/2014,1271147157,1,P,Present and On Time,MS
9/11/2014,2471747671,1,P,Present and On Time,MS
9/11/2014,2471747671,1,P,Present and On Time,MS
9/11/2014,4418596674,1,P,Present and On Time,MS
9/11/2014,4418596674,1,P,Present and On Time,MS
9/11/2014,2317963965,1,P,Present and On Time,MS
9/11/2014,2317963965,1,P,Present and On Time,MS
9/11/2014,7417971954,1,P,Present and On Time,MS
9/11/2014,7417971954,1,P,Present and On Time,MS
9/11/2014,2297496486,1,P,Present and On Time,MS
9/11/2014,2297496486,1,P,Present and On Time,MS
9/11/2014,6613128980,1,P,Present and On Time,MS
9/11/2014,6613128980,1,P,Present and On Time,MS
9/11/2014,6439152483,5,P,Present and On Time,WP
9/11/2014,6439152483,5,P,Present and On Time,WP
9/11/2014,3161838246,5,P,Present and On Time,WP
9/11/2014,3161838246,5,P,Present and On Time,WP
9/11/2014,3782845617,5,P,Present and On Time,WP
9/11/2014,3782845617,5,P,Present and On Time,WP
9/11/2014,6049678742,5,P,Present and On Time,WP
9/11/2014,6049678742,5,P,Present and On Time,WP
9/11/2014,8996406933,5,P,Present and On Time,WP
9/11/2014,8996406933,5,P,Present and On Time,WP
9/11/2014,2312790485,5,P,Present and On Time,WP
9/11/2014,2312790485,5,P,Present and On Time,WP
9/11/2014,1149985615,5,P,Present and On Time,WP
9/11/2014,1149985615,5,P,Present and On Time,WP
9/11/2014,7553569851,5,P,Present and On Time,WP
